Repository ID	Model ID	Attributes	Metabolite in Repository
CPD-13357_C 	 S_2_44_3_45_Dihydroxy_45_3_45_methylbutanoate_c 	 ['(R)-2,3-Dihydroxy-3-methylbutanoate', 'C'] 	 S__40_R_41__45_2_44_3_45_Dihydroxy_45_3_45_methylbutanoate_c
2-ACETO-LACTATE_C 	 S_2_45_Acetolactate_c 	 ['(S)-2-Acetolactate', 'C'] 	 S__40_S_41__45_2_45_Acetolactate_c
2-KETO-3-METHYL-VALERATE_C 	 S_3_45_Methyl_45_2_45_oxopentanoate_c 	 ['(S)-3-Methyl-2-oxopentanoic acid', 'C']
GDP-MANNOSE_C 	 S_GDP_45_mannose_c 	 ['GDP-D-mannose', 'C'] 	 S_GDP_45_D_45_mannose_c
L-ALPHA-ALANINE_C 	 S_L_45_Alanine_c 	 ['Alanine', 'C'] 	 S_Alanine_c
CPD-667_C 	 S_O_45_Acetylhomoserine_c 	 ['O-Acetyl-L-homoserine', 'C'] 	 S_O_45_Acetyl_45_L_45_homoserine_c
O-SUCCINYL-L-HOMOSERINE_C 	 S_O_45_Succinylhomoserine_c 	 ['O-Succinyl-L-homoserine', 'C'] 	 S_O_45_Succinyl_45_L_45_homoserine_c
D-SEDOHEPTULOSE-7-P_C 	 S_Sedoheptulose_32_7_45_phosphate_c 	 ['D-Sedoheptulose 7-phosphate', 'C'] 	 S_D_45_Sedoheptulose_32_7_45_phosphate_c
D-SEDOHEPTULOSE-7-P_P 	 S_Sedoheptulose_32_7_45_phosphate_p 	 ['D-Sedoheptulose 7-phosphate', 'P'] 	 S_D_45_Sedoheptulose_32_7_45_phosphate_p
HS_C 	 S_Sulfide_c 	 ['Hydrogen sulfide', 'C'] 	 S_Hydrogen_32_sulfide_c
CPD-4892_C 	 S_alpha_45_Pinene_c 	 ['(-)-alpha-Pinene', 'C'] 	 S__40__45__41__45_alpha_45_Pinene_c
FRUCTOSE-16-DIPHOSPHATE_C 	 S_beta_45_D_45_Fructose_32_1_44_6_45_bisphosphate_c 	 ['D-Fructose 1,6-bisphosphate', 'C'] 	 S_D_45_Fructose_32_1_44_6_45_bisphosphate_c
FRUCTOSE-16-DIPHOSPHATE_P 	 S_beta_45_D_45_Fructose_32_1_44_6_45_bisphosphate_p 	 ['D-Fructose 1,6-bisphosphate', 'P'] 	 S_D_45_Fructose_32_1_44_6_45_bisphosphate_p
cpd00072_C 	 S_beta_45_D_45_Fructose_32_6_45_phosphate_c 	 ['D-Fructose 6-phosphate', 'C'] 	 S_D_45_Fructose_32_6_45_phosphate_c
cpd00072_P 	 S_beta_45_D_45_Fructose_32_6_45_phosphate_p 	 ['D-Fructose 6-phosphate', 'P'] 	 S_D_45_Fructose_32_6_45_phosphate_p
BETA-D-FRUCTOSE_C 	 S_beta_45_D_45_Fructose_c 	 ['D-Fructose', 'C'] 	 S_D_45_Fructose_c
Lactosyl-Ceramides_C 	 S_beta_45_D_45_Galactosyl_45_1_44_4_45_beta_45_D_45_glucosylceramide_c 	 ['Lactosylceramide', 'C'] 	 S_Lactosylceramide_c
DTDP-DEOH-DEOXY-GLUCOSE_C 	 S_dTDP_45_4_45_dehydro_45_6_45_deoxy_45_alpha_45_D_45_glucose_c 	 ['4,6-Dideoxy-4-oxo-dTDP-D-glucose', 'C'] 	 S_4_44_6_45_Dideoxy_45_4_45_oxo_45_dTDP_45_D_45_glucose_c
WATER_C 	 S_n_32_H2O_c 	 ['H2O', 'C'] 	 S_H2O_c
METOH_C 	 S_n_32_Methanol_c 	 ['Methanol', 'C'] 	 S_Methanol_c
