R_Coleoptile_Biomass	Coleoptile Biomass reaction
R_Straw_Biomass	Straw Biomass reaction
R_ACCOAC_OSAc	Acyl-CoA (Aerobic composition)
R_ACCOAC_OSAr	Acyl-CoA (Aerobic composition)
R_ACPC_OSs	ACP(Aerobic composition)
R_ACPC_OSm	ACP(Aerobic composition)
R_FAC_Osc	Fatty acid (Aerobic composition)
R_FAC_Osr	Fatty acid (Aerobic composition)
R_EX_co2_LPAREN_e_RPAREN_	CO2 exchange
R_EX_h2o_LPAREN_e_RPAREN_	H2O exchange
R_EX_h_LPAREN_e_RPAREN_	H+ exchange
R_EX_no3_LPAREN_e_RPAREN_	nitrate exchange
R_EX_o2_LPAREN_e_RPAREN_	O2 exchange
R_EX_pi_LPAREN_e_RPAREN_	Phosphate exchange
R_EX_sucr_LPAREN_e_RPAREN_	Sucrose exchange
R_EX_fru_DASH_B_LPAREN_e_RPAREN_	Fructose exchange
R_EX_glc_DASH_A_LPAREN_e_RPAREN_	Glucose exchange
R_EX_so4_LPAREN_e_RPAREN_	Sulfate exchange
R_EX_hco3_LPAREN_e_RPAREN_	Bicarbonate exchange
R_EX_so3_LPAREN_e_RPAREN_	Sulfite exchange
R_EX_h2s_LPAREN_e_RPAREN_	Hydrogen sulfide exchange
R_EX_nh4_LPAREN_e_RPAREN_	Ammonia exchange
R_EX_asn_DASH_L_LPAREN_e_RPAREN_	L-Asparagine exchange
R_EX_gln_DASH_L_LPAREN_e_RPAREN_	L-Glutamine exchange
R_EX_etoh_LPAREN_e_RPAREN_	Ethanol exchange
R_EX_ac_LPAREN_e_RPAREN_	Acetate exchange
R_EX_lac_DASH_L_LPAREN_e_RPAREN_	L-Lactate exchange
R_EX_tsul_LPAREN_e_RPAREN_	Thiosulfate exchange
R_EX_fe2_LPAREN_e_RPAREN_	Fe2+ exchange
R_EX_fe3_LPAREN_e_RPAREN_	Fe3+ exchange
R_EX_mg2_LPAREN_e_RPAREN_	Magnesium exchange
R_EX_ala_DASH_L_LPAREN_e_RPAREN_	L-Alanine exchange
R_EX_arg_DASH_L_LPAREN_e_RPAREN_	L-Arginine exchange
R_EX_asp_DASH_L_LPAREN_e_RPAREN_	L-Aspartate exchange
R_EX_cys_DASH_L_LPAREN_e_RPAREN_	L-Cysteine exchange
R_EX_glu_DASH_L_LPAREN_e_RPAREN_	L-Glutamate exchange
R_EX_gly_LPAREN_e_RPAREN_	Glycine exchange
R_EX_his_DASH_L_LPAREN_e_RPAREN_	L-Histidine exchange
R_EX_ile_DASH_L_LPAREN_e_RPAREN_	L-Isoleucine exchange
R_EX_leu_DASH_L_LPAREN_e_RPAREN_	L-Leucine exchange
R_EX_lys_DASH_L_LPAREN_e_RPAREN_	L-Lysine exchange
R_EX_met_DASH_L_LPAREN_e_RPAREN_	L-Methionine exchange
R_EX_phe_DASH_L_LPAREN_e_RPAREN_	L-Phenylalanine exchange
R_EX_pro_DASH_L_LPAREN_e_RPAREN_	L-Proline exchange
R_EX_ser_DASH_L_LPAREN_e_RPAREN_	L-Serine exchange
R_EX_thr_DASH_L_LPAREN_e_RPAREN_	L-Threonine exchange
R_EX_trp_DASH_L_LPAREN_e_RPAREN_	L-Tryptophan exchange
R_EX_tyr_DASH_L_LPAREN_e_RPAREN_	L-Tyrosine exchange
R_EX_val_DASH_L_LPAREN_e_RPAREN_	L-Valine exchange
R_EX_photonVis_LPAREN_e_RPAREN_	photon emission
R_PRISM_blue_LED	spectral decomposition of blue LED (450  nm)
R_PRISM_red_LED	spectral decomposition of red LED (660  nm)
R_PRISM_green_LED	spectral decomposition of red LED (530  nm)
R_RPSI_410_LPAREN_u_RPAREN_	Photosystem I 410 specific reaction
R_RPSI_430_LPAREN_u_RPAREN_	Photosystem I 430 specific reaction
R_RPSI_450_LPAREN_u_RPAREN_	Photosystem I 450 specific reaction
R_RPSI_470_LPAREN_u_RPAREN_	Photosystem I 470 specific reaction
R_RPSI_490_LPAREN_u_RPAREN_	Photosystem I 490 specific reaction
R_RPSI_510_LPAREN_u_RPAREN_	Photosystem I 510 specific reaction
R_RPSI_530_LPAREN_u_RPAREN_	Photosystem I 530 specific reaction
R_RPSI_550_LPAREN_u_RPAREN_	Photosystem I 550 specific reaction
R_RPSI_570_LPAREN_u_RPAREN_	Photosystem I 570 specific reaction
R_RPSI_590_LPAREN_u_RPAREN_	Photosystem I 590 specific reaction
R_RPSI_610_LPAREN_u_RPAREN_	Photosystem I 610 specific reaction
R_RPSI_630_LPAREN_u_RPAREN_	Photosystem I 630 specific reaction
R_RPSI_650_LPAREN_u_RPAREN_	Photosystem I 630 specific reaction
R_RPSI_670_LPAREN_u_RPAREN_	Photosystem I 670 specific reaction
R_RPSI_690_LPAREN_u_RPAREN_	Photosystem I 690 specific reaction
R_RPSII_410_LPAREN_u_RPAREN_	Photosystem II 410 specific reaction
R_RPSII_430_LPAREN_u_RPAREN_	Photosystem II 430 specific reaction
R_RPSII_450_LPAREN_u_RPAREN_	Photosystem II 450 specific reaction
R_RPSII_470_LPAREN_u_RPAREN_	Photosystem II 470 specific reaction
R_RPSII_490_LPAREN_u_RPAREN_	Photosystem II 490 specific reaction
R_RPSII_510_LPAREN_u_RPAREN_	Photosystem II 510 specific reaction
R_RPSII_530_LPAREN_u_RPAREN_	Photosystem II 530 specific reaction
R_RPSII_550_LPAREN_u_RPAREN_	Photosystem II 550 specific reaction
R_RPSII_570_LPAREN_u_RPAREN_	Photosystem II 570 specific reaction
R_RPSII_590_LPAREN_u_RPAREN_	Photosystem II 590 specific reaction
R_RPSII_610_LPAREN_u_RPAREN_	Photosystem II 610 specific reaction
R_RPSII_630_LPAREN_u_RPAREN_	Photosystem II 630 specific reaction
R_RPSII_650_LPAREN_u_RPAREN_	Photosystem II 630 specific reaction
R_RPSII_670_LPAREN_u_RPAREN_	Photosystem II 670 specific reaction
R_RPSII_690_LPAREN_u_RPAREN_	Photosystem II 690 specific reaction
R_CO2tex	CO2 transport (extracellular to cytosol)
R_H2Otex	H2O transport (extracellular to cytosol)
R_Htex	proton transport via diffusion (extracellular to cytosol)
R_NO3tex	nitrate transport (extracellular to cytosol)
R_O2tex	O2 transport in via diffusion (extracellular to cytosol)
R_Pitex	PI transport in via diffusion (extracellular to cytosol)
R_FRUtex	D-fructose transport via diffusion (extracellular to cytosol)
R_GLCtex	glucose transport via diffusion (extracellular to cytosol)
R_SO4tex	sulfate transport via diffusion (extracellular to cytosol)
