S_(2E)-Octadecenoyl-[acp]_c	(2E)-Octadecenoyl-[acp]
S_(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]_c	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]_p	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]_c	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]_p	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]_c	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]_p	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]_c	(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]_p	(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]_c	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
S_(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]_p	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
S_(R)-3-Hydroxydodecanoyl-[acp]_c	(R)-3-Hydroxydodecanoyl-[acp]
S_(R)-3-Hydroxydodecanoyl-[acp]_p	(R)-3-Hydroxydodecanoyl-[acp]
S_(R)-3-Hydroxyhexanoyl-[acp]_c	(R)-3-Hydroxyhexanoyl-[acp]
S_(R)-3-Hydroxyhexanoyl-[acp]_p	(R)-3-Hydroxyhexanoyl-[acp]
S_1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate_c	1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate
S_2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)pyrimidine_c	2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)pyrimidine
S_3-Hydroxyoctadecanoyl-[acp]_c	3-Hydroxyoctadecanoyl-[acp]
S_3-Oxodecanoyl-[acp]_c	3-Oxodecanoyl-[acp]
S_3-Oxodecanoyl-[acp]_p	3-Oxodecanoyl-[acp]
S_3-Oxododecanoyl-[acp]_c	3-Oxododecanoyl-[acp]
S_3-Oxododecanoyl-[acp]_p	3-Oxododecanoyl-[acp]
S_3-Oxohexadecanoyl-[acp]_c	3-Oxohexadecanoyl-[acp]
S_3-Oxohexadecanoyl-[acp]_p	3-Oxohexadecanoyl-[acp]
S_3-Oxohexanoyl-[acp]_c	3-Oxohexanoyl-[acp]
S_3-Oxohexanoyl-[acp]_p	3-Oxohexanoyl-[acp]
S_3-Oxooctanoyl-[acp]_c	3-Oxooctanoyl-[acp]
S_3-Oxooctanoyl-[acp]_p	3-Oxooctanoyl-[acp]
S_3-Oxostearoyl-[acp]_c	3-Oxostearoyl-[acp]
S_3-Oxotetradecanoyl-[acp]_c	3-Oxotetradecanoyl-[acp]
S_3-Oxotetradecanoyl-[acp]_p	3-Oxotetradecanoyl-[acp]
